org,mat,evento,dtEnt,hrEnt,dtSai,hrSai,dtCon,hrCon
ibarp,8,2023-11-26 10:00:00.000000 UTC,2023-11-26,10:02,,,,
ibarp,98,2023-11-26 10:00:00.000000 UTC,2023-11-26,10:03,,,,
ibarp,114,2023-11-26 19:00:00.000000 UTC,2023-11-26,19:00,,,,
ibarp,126,2023-11-26 19:00:00.000000 UTC,2023-11-26,18:59,,,,
ibarp,132,2023-11-26 19:00:00.000000 UTC,2023-11-26,19:15,,,,
ibarp,134,2023-11-26 19:00:00.000000 UTC,2023-11-26,19:31,,,,
ibarp,135,2023-11-26 19:00:00.000000 UTC,2023-11-26,19:32,,,,
ibarp,14,2023-11-26 19:00:00.000000 UTC,2023-11-26,19:22,,,,
ibarp,34,2023-11-26 19:00:00.000000 UTC,2023-11-26,19:09,,,,
ibarp,8,2023-11-26 19:00:00.000000 UTC,2023-11-26,18:58,,,,
ibarp,100,2023-11-29 20:00:00.000000 UTC,2023-11-29,20:03,2023-11-29,21:58,2023-11-29,21:58
ibarp,73,2023-11-29 20:00:00.000000 UTC,2023-11-29,20:01,2023-11-29,21:59,2023-11-29,21:59
ibarp,90,2023-11-29 20:00:00.000000 UTC,2023-11-29,20:10,,,,
ibarp,141,2023-12-03 10:00:00.000000 UTC,2023-12-03,09:51,2023-12-03,12:15,2023-12-03,12:15
ibarp,142,2023-12-03 10:00:00.000000 UTC,2023-12-03,10:07,,,,
ibarp,10,2023-12-03 19:01:00.000000 UTC,2023-12-03,18:58,,,,
ibarp,11,2023-12-03 19:01:00.000000 UTC,2023-12-03,18:58,,,,
ibarp,147,2023-12-03 19:01:00.000000 UTC,2023-12-03,18:59,,,,
ibarp,159,2023-12-03 19:01:00.000000 UTC,2023-12-03,19:20,,,,
ibarp,163,2023-12-03 19:01:00.000000 UTC,2023-12-03,19:20,,,,
ibarp,167,2023-12-03 19:01:00.000000 UTC,2023-12-03,19:31,,,,
ibarp,171,2023-12-03 19:01:00.000000 UTC,2023-12-03,19:38,,,,
ibarp,89,2023-12-03 19:01:00.000000 UTC,2023-12-03,19:11,,,,
ibarp,95,2023-12-03 19:01:00.000000 UTC,2023-12-03,19:18,,,,
ibarp,100,2023-12-13 20:04:00.000000 UTC,2023-12-13,20:05,,,,
ibarp,111,2023-12-17 18:00:00.000000 UTC,2023-12-17,19:40,,,2023-12-17,20:47
ibarp,179,2023-12-17 18:00:00.000000 UTC,2023-12-17,19:21,,,2023-12-17,20:48
ibarp,184,2023-12-17 18:00:00.000000 UTC,2023-12-17,19:23,,,2023-12-17,20:47
ibarp,185,2023-12-17 18:00:00.000000 UTC,2023-12-17,19:32,,,2023-12-17,20:48
ibarp,30,2023-12-17 18:00:00.000000 UTC,2023-12-17,19:00,,,2023-12-17,20:46
ibarp,35,2023-12-17 18:00:00.000000 UTC,2023-12-17,19:19,,,2023-12-17,20:46
ibarp,42,2023-12-17 18:00:00.000000 UTC,2023-12-17,19:18,,,2023-12-17,20:46
ibarp,100,2023-12-20 20:06:00.000000 UTC,2023-12-20,20:07,,,2023-12-20,22:00
ibarp,11,2023-12-20 20:06:00.000000 UTC,2023-12-20,20:18,,,2023-12-20,22:01
ibarp,190,2023-12-20 20:06:00.000000 UTC,2023-12-20,20:39,2023-12-20,21:55,2023-12-20,21:56
ibarp,99,2023-12-20 20:06:00.000000 UTC,2023-12-20,20:07,,,2023-12-20,22:00
ibarp,180,2023-12-27 20:00:00.000000 UTC,2023-12-27,20:01,,,,
ibarp,12,2024-01-07 10:00:00.000000 UTC,2024-01-07,10:10,,,2024-01-07,12:07
ibarp,69,2024-01-07 10:00:00.000000 UTC,2024-01-07,09:51,,,2024-01-07,12:06
ibarp,105,2024-01-07 18:00:00.000000 UTC,2024-01-07,19:16,,,2024-01-07,21:25
ibarp,112,2024-01-07 18:00:00.000000 UTC,2024-01-07,19:08,,,2024-01-07,21:24
ibarp,133,2024-01-07 18:00:00.000000 UTC,2024-01-07,19:13,,,2024-01-07,21:24
ibarp,135,2024-01-07 18:00:00.000000 UTC,2024-01-07,20:25,,,2024-01-07,21:22
ibarp,150,2024-01-07 18:00:00.000000 UTC,2024-01-07,19:08,,,,
ibarp,166,2024-01-07 18:00:00.000000 UTC,2024-01-07,19:15,,,,
ibarp,174,2024-01-07 18:00:00.000000 UTC,2024-01-07,19:52,,,2024-01-07,21:22
ibarp,19,2024-01-07 18:00:00.000000 UTC,2024-01-07,19:20,,,2024-01-07,21:23
ibarp,198,2024-01-07 18:00:00.000000 UTC,2024-01-07,19:00,,,2024-01-07,21:24
ibarp,208,2024-01-07 18:00:00.000000 UTC,,,,,2024-01-07,21:24
ibarp,218,2024-01-07 18:00:00.000000 UTC,2024-01-07,19:23,,,2024-01-07,21:22
ibarp,46,2024-01-07 18:00:00.000000 UTC,2024-01-07,19:12,,,2024-01-07,21:25
ibarp,48,2024-01-07 18:00:00.000000 UTC,2024-01-07,19:42,,,,
ibarp,54,2024-01-07 18:00:00.000000 UTC,2024-01-07,19:20,,,2024-01-07,21:23
ibarp,96,2024-01-07 18:00:00.000000 UTC,2024-01-07,19:36,,,2024-01-07,21:24
ibarp,179,2024-01-10 20:00:00.000000 UTC,2024-01-10,19:51,,,,
ibarp,19,2024-01-10 20:00:00.000000 UTC,2024-01-10,20:38,,,,
ibarp,224,2024-01-10 20:00:00.000000 UTC,2024-01-10,20:00,,,,
ibarp,225,2024-01-10 20:00:00.000000 UTC,2024-01-10,20:32,,,,
ibarp,16,2024-01-14 10:00:00.000000 UTC,2024-01-14,10:04,,,2024-01-14,11:53
ibarp,188,2024-01-14 10:00:00.000000 UTC,2024-01-14,10:05,,,2024-01-14,11:53
ibarp,185,2024-01-14 19:05:00.000000 UTC,2024-01-14,19:48,,,,
ibarp,230,2024-01-14 19:05:00.000000 UTC,2024-01-14,19:27,,,,
ibarp,236,2024-01-14 19:05:00.000000 UTC,2024-01-14,19:47,,,,
ibarp,89,2024-01-14 19:05:00.000000 UTC,2024-01-14,19:06,,,,
ibarp,23,2024-01-17 20:00:00.000000 UTC,2024-01-17,20:30,,,2024-01-17,21:44
ibarp,244,2024-01-17 20:00:00.000000 UTC,2024-01-17,21:51,,,2024-01-17,21:45
ibarp,84,2024-01-17 20:00:00.000000 UTC,2024-01-17,20:17,,,2024-01-17,21:45
ibarp,87,2024-01-17 20:00:00.000000 UTC,2024-01-17,20:18,,,2024-01-17,21:45
ibarp,226,2024-01-21 10:00:00.000000 UTC,2024-01-21,10:19,,,,
ibarp,10,2024-01-21 19:02:00.000000 UTC,2024-01-21,19:08,,,,
ibarp,191,2024-01-21 19:02:00.000000 UTC,2024-01-21,19:06,,,,
ibarp,227,2024-01-21 19:02:00.000000 UTC,2024-01-21,19:03,,,,
ibarp,229,2024-01-21 19:02:00.000000 UTC,2024-01-21,19:42,,,,
ibarp,48,2024-01-21 19:02:00.000000 UTC,2024-01-21,19:53,,,,
ibarp,218,2024-01-28 20:00:00.000000 UTC,2024-01-28,19:14,,,,
ibarp,256,2024-01-28 20:00:00.000000 UTC,2024-01-28,19:10,,,,
ibarp,257,2024-01-28 20:00:00.000000 UTC,2024-01-28,19:32,,,,
ibarp,34,2024-01-28 20:00:00.000000 UTC,2024-01-28,19:15,,,,
ibarp,47,2024-01-28 20:00:00.000000 UTC,2024-01-28,19:04,,,,
ibarp,8,2024-01-28 20:00:00.000000 UTC,2024-01-28,19:03,,,,
ibarp,10,2024-01-31 20:00:00.000000 UTC,2024-01-31,19:58,,,,
ibarp,180,2024-01-31 20:00:00.000000 UTC,2024-01-31,19:59,,,,
ibarp,8,2024-01-31 20:00:00.000000 UTC,2024-01-31,19:59,,,,
ibarp,10,2024-02-04 10:00:00.000000 UTC,2024-02-04,10:06,,,,
ibarp,133,2024-02-04 10:00:00.000000 UTC,2024-02-04,10:05,,,,
ibarp,180,2024-02-04 10:00:00.000000 UTC,2024-02-04,10:06,,,,
ibarp,224,2024-02-04 10:00:00.000000 UTC,2024-02-04,10:23,,,,
ibarp,8,2024-02-04 10:00:00.000000 UTC,2024-02-04,10:05,,,,
ibarp,11,2024-02-04 19:00:00.000000 UTC,2024-02-04,18:58,,,,
ibarp,263,2024-02-04 19:00:00.000000 UTC,2024-02-04,19:03,,,,
ibarp,264,2024-02-04 19:00:00.000000 UTC,2024-02-04,19:26,,,,
ibarp,30,2024-02-04 19:00:00.000000 UTC,2024-02-04,19:24,,,,
ibarp,8,2024-02-04 19:00:00.000000 UTC,2024-02-04,18:47,,,,
ibarp,14,2024-02-07 20:00:00.000000 UTC,2024-02-07,20:29,,,,
ibarp,27,2024-02-07 20:00:00.000000 UTC,2024-02-07,20:13,,,,
ibarp,270,2024-02-07 20:00:00.000000 UTC,2024-02-07,20:11,,,,
ibarp,103,2024-02-11 10:00:00.000000 UTC,2024-02-11,10:09,,,,
ibarp,272,2024-02-11 10:00:00.000000 UTC,2024-02-11,10:00,,,,
ibarp,7,2024-02-11 10:00:00.000000 UTC,2024-02-11,10:01,,,,
ibarp,149,2024-02-11 19:00:00.000000 UTC,2024-02-11,19:05,,,,
ibarp,47,2024-02-11 19:00:00.000000 UTC,2024-02-11,19:09,,,,
ibarp,78,2024-02-11 19:00:00.000000 UTC,2024-02-11,19:27,,,,
ibarp,10,2024-02-14 20:00:00.000000 UTC,2024-02-14,19:55,,,,
ibarp,136,2024-02-14 20:00:00.000000 UTC,2024-02-14,20:56,,,,
ibarp,186,2024-02-14 20:00:00.000000 UTC,2024-02-14,19:58,,,,
ibarp,277,2024-02-14 20:00:00.000000 UTC,2024-02-14,20:32,,,,
ibarp,240,2024-02-18 19:00:00.000000 UTC,2024-02-18,20:08,,,,
ibarp,286,2024-02-21 20:00:00.000000 UTC,2024-02-21,19:54,,,,
ibarp,261,2024-02-25 10:00:00.000000 UTC,2024-02-25,10:05,,,,
ibarp,75,2024-02-25 10:00:00.000000 UTC,2024-02-25,10:13,,,,
ibarp,11,2024-02-25 18:00:00.000000 UTC,2024-02-25,19:04,,,,
ibarp,130,2024-02-25 18:00:00.000000 UTC,2024-02-25,19:08,,,,
ibarp,135,2024-02-25 18:00:00.000000 UTC,2024-02-25,20:03,,,,
ibarp,186,2024-02-25 18:00:00.000000 UTC,2024-02-25,19:05,,,,
ibarp,254,2024-02-25 18:00:00.000000 UTC,2024-02-25,19:03,,,,
ibarp,261,2024-02-25 18:00:00.000000 UTC,2024-03-03,10:04,,,,
ibarp,270,2024-02-25 18:00:00.000000 UTC,2024-02-25,19:56,,,,
ibarp,271,2024-02-25 18:00:00.000000 UTC,2024-02-25,19:00,,,,
ibarp,291,2024-02-25 18:00:00.000000 UTC,2024-02-25,19:50,,,,
ibarp,292,2024-02-25 18:00:00.000000 UTC,2024-02-25,19:52,,,,
ibarp,295,2024-02-25 18:00:00.000000 UTC,2024-03-03,10:11,,,,
ibarp,296,2024-02-25 18:00:00.000000 UTC,2024-03-03,11:37,,,,
ibarp,55,2024-02-25 18:00:00.000000 UTC,2024-02-25,20:03,,,,
ibarp,73,2024-02-25 18:00:00.000000 UTC,2024-02-25,19:03,,,,
ibarp,133,2024-03-03 19:00:00.000000 UTC,2024-03-03,19:03,,,,
ibarp,193,2024-03-03 19:00:00.000000 UTC,2024-03-03,19:19,,,,
ibarp,222,2024-03-03 19:00:00.000000 UTC,2024-03-03,19:45,,,,
ibarp,293,2024-03-03 19:00:00.000000 UTC,2024-03-03,19:33,,,,
ibarp,300,2024-03-03 19:00:00.000000 UTC,2024-03-03,19:44,,,,
ibarp,277,2024-03-10 19:04:00.000000 UTC,2024-03-10,20:19,,,,
ibarp,97,2024-03-10 19:04:00.000000 UTC,2024-03-10,19:05,,,,
ibarp,298,2024-03-24 19:02:00.000000 UTC,2024-03-24,19:01,,,,
ibarp,8,2024-03-24 19:08:00.000000 UTC,2024-03-24,19:10,,,,
ibarp,305,2024-03-24 19:59:00.000000 UTC,2024-03-24,18:59,,,,
ibarp,117,2024-03-31 10:00:00.000000 UTC,2024-03-31,10:25,,,,
ibarp,167,2024-03-31 10:00:00.000000 UTC,2024-03-31,10:19,,,,
ibarp,274,2024-03-31 19:00:00.000000 UTC,2024-03-31,19:15,,,,
ibarp,310,2024-03-31 19:00:00.000000 UTC,2024-03-31,19:41,,,,
ibarp,312,2024-03-31 19:00:00.000000 UTC,2024-03-31,19:42,,,,
ibarp,34,2024-03-31 19:00:00.000000 UTC,2024-03-31,19:05,,,,
ibarp,316,2024-04-03 20:00:00.000000 UTC,2024-04-03,20:09,,,,
ibarp,319,2024-04-07 10:00:00.000000 UTC,2024-04-07,10:17,,,,
ibarp,321,2024-04-07 10:00:00.000000 UTC,2024-04-07,10:20,,,,
ibarp,130,2024-04-07 19:00:00.000000 UTC,2024-04-07,19:18,,,,
ibarp,322,2024-04-07 19:00:00.000000 UTC,2024-04-07,18:57,,,,
ibarp,328,2024-04-07 19:00:00.000000 UTC,2024-04-07,19:18,,,,
ibarp,11,2024-04-10 20:00:00.000000 UTC,2024-04-10,20:01,,,,
ibarp,334,2024-04-17 20:11:00.000000 UTC,2024-04-17,20:14,,,,
ibarp,335,2024-04-21 10:03:00.000000 UTC,2024-04-21,10:34,,,,
ibarp,337,2024-04-21 18:53:00.000000 UTC,2024-04-21,20:29,,,,
ibarp,338,2024-04-21 18:53:00.000000 UTC,2024-04-21,20:29,,,,
ibarp,339,2024-04-21 18:53:00.000000 UTC,2024-04-21,20:32,,,,
ibarp,341,2024-04-21 18:53:00.000000 UTC,2024-04-21,20:42,,,,
ibarp,343,2024-04-21 18:53:00.000000 UTC,2024-04-21,20:47,,,,
ibarp,51,2024-04-21 18:53:00.000000 UTC,2024-04-21,20:38,,,,
ibarp,267,2024-04-24 20:00:00.000000 UTC,2024-04-24,20:20,,,,
ibarp,313,2024-04-24 20:00:00.000000 UTC,2024-04-24,19:49,,,,
ibarp,325,2024-04-24 20:00:00.000000 UTC,2024-04-24,20:04,,,,
ibarp,56,2024-04-28 11:00:00.000000 UTC,2024-04-28,11:04,,,,
ibarp,135,2024-04-28 19:01:00.000000 UTC,2024-04-28,19:29,,,,
ibarp,141,2024-04-28 19:01:00.000000 UTC,2024-04-28,19:26,,,,
ibarp,189,2024-04-28 19:01:00.000000 UTC,2024-04-28,19:12,,,,
ibarp,31,2024-04-28 19:01:00.000000 UTC,2024-04-28,19:14,,,,
ibarp,349,2024-04-28 19:01:00.000000 UTC,2024-04-28,19:12,,,,
ibarp,353,2024-04-28 19:01:00.000000 UTC,2024-04-28,19:28,,,,
ibarp,36,2024-04-28 19:01:00.000000 UTC,2024-04-28,19:06,,,,
ibarp,363,2024-04-28 19:01:00.000000 UTC,2024-04-28,20:22,,,,
ibarp,55,2024-04-28 19:01:00.000000 UTC,2024-04-28,19:29,,,,
ibarp,73,2024-04-28 19:01:00.000000 UTC,2024-04-28,19:24,,,,
ibarp,86,2024-04-28 19:01:00.000000 UTC,2024-04-28,19:11,,,,
ibarp,354,2024-05-01 20:00:00.000000 UTC,2024-05-01,20:27,,,,
ibarp,73,2024-05-01 20:00:00.000000 UTC,2024-05-01,20:27,,,,
ibarp,32,2024-05-05 19:00:00.000000 UTC,2024-05-05,19:14,,,,
ibarp,346,2024-05-05 19:00:00.000000 UTC,2024-05-05,19:02,,,,
ibarp,371,2024-05-05 19:00:00.000000 UTC,2024-05-05,19:04,,,,
ibarp,380,2024-05-05 19:00:00.000000 UTC,2024-05-05,19:11,,,,
ibarp,381,2024-05-05 19:00:00.000000 UTC,2024-05-05,19:46,,,,
ibarp,64,2024-05-05 19:00:00.000000 UTC,2024-05-05,19:18,,,,
ibarp,68,2024-05-05 19:00:00.000000 UTC,2024-05-05,19:13,,,,
ibarp,130,2024-05-08 20:00:00.000000 UTC,2024-05-08,20:10,,,,
ibarp,314,2024-05-08 20:00:00.000000 UTC,2024-05-08,20:13,,,,
ibarp,386,2024-05-08 20:00:00.000000 UTC,2024-05-08,20:21,,,,
ibarp,45,2024-05-08 20:00:00.000000 UTC,2024-05-08,20:29,,,,
ibarp,116,2024-05-12 19:00:00.000000 UTC,2024-05-12,19:38,,,,
ibarp,12,2024-05-12 19:00:00.000000 UTC,2024-05-12,19:11,,,,
ibarp,224,2024-05-12 19:00:00.000000 UTC,2024-05-12,19:25,,,,
ibarp,264,2024-05-12 19:00:00.000000 UTC,2024-05-15,20:26,,,,
ibarp,27,2024-05-12 19:00:00.000000 UTC,2024-05-12,19:00,,,,
ibarp,32,2024-05-12 19:00:00.000000 UTC,2024-05-12,19:16,,,,
ibarp,328,2024-05-12 19:00:00.000000 UTC,2024-05-12,19:00,,,,
ibarp,364,2024-05-12 19:00:00.000000 UTC,2024-05-12,19:16,,,,
ibarp,370,2024-05-12 19:00:00.000000 UTC,2024-05-12,19:01,,,,
ibarp,385,2024-05-12 19:00:00.000000 UTC,2024-05-12,19:37,,,,
ibarp,393,2024-05-12 19:00:00.000000 UTC,2024-05-12,19:10,,,,
ibarp,395,2024-05-12 19:00:00.000000 UTC,2024-05-12,19:15,,,,
ibarp,396,2024-05-12 19:00:00.000000 UTC,2024-05-12,19:33,,,,
ibarp,397,2024-05-19 10:00:00.000000 UTC,2024-05-19,10:25,,,,
ibarp,8,2024-05-19 10:00:00.000000 UTC,2024-05-19,10:44,,,,
ibarp,264,2024-05-19 19:00:00.000000 UTC,2024-05-19,19:22,,,,
ibarp,391,2024-05-19 19:00:00.000000 UTC,2024-05-19,19:08,,,,
ibarp,179,2024-05-22 20:02:00.000000 UTC,2024-05-22,20:03,,,,
ibarp,270,2024-05-22 20:02:00.000000 UTC,2024-05-22,20:06,,,,
ibarp,39,2024-05-22 20:02:00.000000 UTC,2024-05-26,10:26,,,,
ibarp,402,2024-05-22 20:02:00.000000 UTC,2024-05-22,20:01,,,,
ibarp,341,2024-05-26 19:00:00.000000 UTC,2024-05-26,19:47,,,,
ibarp,390,2024-05-26 19:00:00.000000 UTC,2024-05-26,19:01,,,,
ibarp,85,2024-05-26 19:00:00.000000 UTC,2024-05-26,19:03,,,,
ibarp,402,2024-05-29 20:00:00.000000 UTC,2024-05-29,20:05,,,,
ibarp,410,2024-05-29 20:00:00.000000 UTC,2024-06-02,10:04,,,,
ibarp,189,2024-06-02 19:00:00.000000 UTC,2024-06-02,19:07,,,,
ibarp,281,2024-06-02 19:00:00.000000 UTC,2024-06-02,19:01,,,,
ibarp,391,2024-06-02 19:00:00.000000 UTC,2024-06-02,20:10,,,,
ibarp,412,2024-06-02 19:00:00.000000 UTC,2024-06-02,19:24,,,,
ibarp,413,2024-06-02 19:00:00.000000 UTC,2024-06-02,19:27,,,,
ibarp,10,2024-06-09 19:00:00.000000 UTC,2024-06-09,19:07,,,,
ibarp,11,2024-06-09 19:00:00.000000 UTC,2024-06-09,19:07,,,,
ibarp,126,2024-06-09 19:00:00.000000 UTC,2024-06-09,19:26,,,,
ibarp,133,2024-06-09 19:00:00.000000 UTC,2024-06-16,19:13,,,,
ibarp,197,2024-06-09 19:00:00.000000 UTC,2024-06-09,19:07,,,,
ibarp,240,2024-06-09 19:00:00.000000 UTC,2024-06-16,20:06,,,,
ibarp,30,2024-06-09 19:00:00.000000 UTC,2024-06-16,19:11,,,,
ibarp,315,2024-06-09 19:00:00.000000 UTC,2024-06-16,19:22,,,,
ibarp,32,2024-06-09 19:00:00.000000 UTC,2024-06-16,19:16,,,,
ibarp,346,2024-06-09 19:00:00.000000 UTC,2024-06-16,18:59,,,,
ibarp,355,2024-06-09 19:00:00.000000 UTC,2024-06-16,19:20,,,,
ibarp,405,2024-06-09 19:00:00.000000 UTC,2024-06-16,19:18,,,,
ibarp,413,2024-06-09 19:00:00.000000 UTC,2024-06-09,19:58,,,,
ibarp,421,2024-06-09 19:00:00.000000 UTC,2024-06-09,19:02,,,,
ibarp,423,2024-06-09 19:00:00.000000 UTC,2024-06-09,19:11,,,,
ibarp,424,2024-06-09 19:00:00.000000 UTC,2024-06-09,19:19,,,,
ibarp,426,2024-06-09 19:00:00.000000 UTC,2024-06-09,19:47,,,,
ibarp,435,2024-06-09 19:00:00.000000 UTC,2024-06-16,19:03,,,,
ibarp,439,2024-06-09 19:00:00.000000 UTC,2024-06-16,19:03,,,,
ibarp,440,2024-06-09 19:00:00.000000 UTC,2024-06-16,19:03,,,,
ibarp,443,2024-06-09 19:00:00.000000 UTC,2024-06-16,19:03,,,,
ibarp,449,2024-06-09 19:00:00.000000 UTC,2024-06-16,19:20,,,,
ibarp,56,2024-06-09 19:00:00.000000 UTC,2024-06-16,10:45,,,,
ibarp,89,2024-06-09 19:00:00.000000 UTC,2024-06-09,19:15,,,,
ibarp,133,2024-06-19 20:00:00.000000 UTC,2024-06-23,19:08,,,,
ibarp,183,2024-06-19 20:00:00.000000 UTC,2024-06-23,19:08,,,,
ibarp,197,2024-06-19 20:00:00.000000 UTC,2024-06-23,19:07,,,,
ibarp,31,2024-06-19 20:00:00.000000 UTC,2024-06-23,19:02,,,,
ibarp,354,2024-06-19 20:00:00.000000 UTC,2024-06-23,19:31,,,,
ibarp,359,2024-06-19 20:00:00.000000 UTC,2024-06-19,20:17,,,,
ibarp,40,2024-06-19 20:00:00.000000 UTC,2024-06-23,19:06,,,,
ibarp,404,2024-06-19 20:00:00.000000 UTC,2024-06-23,10:48,,,,
ibarp,405,2024-06-19 20:00:00.000000 UTC,2024-06-23,19:03,,,,
ibarp,451,2024-06-19 20:00:00.000000 UTC,2024-06-19,20:12,,,,
ibarp,453,2024-06-19 20:00:00.000000 UTC,2024-06-23,18:46,,,,
ibarp,14,2024-06-26 20:00:00.000000 UTC,2024-06-26,20:20,,,,
ibarp,223,2024-06-26 20:00:00.000000 UTC,2024-06-26,20:57,,,,
ibarp,405,2024-06-26 20:00:00.000000 UTC,2024-06-26,20:06,,,,
ibarp,414,2024-06-26 20:00:00.000000 UTC,2024-06-26,20:28,,,,
ibarp,458,2024-06-26 20:00:00.000000 UTC,2024-06-26,20:14,,,,
ibarp,298,2024-06-30 19:00:00.000000 UTC,2024-07-03,20:18,,,,
ibarp,359,2024-06-30 19:00:00.000000 UTC,2024-07-03,20:41,,,,
ibarp,429,2024-06-30 19:00:00.000000 UTC,2024-07-03,20:17,,,,
ibarp,71,2024-06-30 19:00:00.000000 UTC,2024-07-03,20:19,,,,
ibarp,135,2024-06-30 20:00:00.000000 UTC,2024-06-30,19:37,,,,
ibarp,234,2024-06-30 20:00:00.000000 UTC,2024-06-30,20:19,,,,
ibarp,390,2024-06-30 20:00:00.000000 UTC,2024-06-30,19:33,,,,
ibatj,1007,2023-10-22 10:00:00.000000 UTC,2023-10-22,09:59,2023-10-22,12:01,2023-10-22,12:01
ibatj,1011,2023-10-22 10:00:00.000000 UTC,2023-10-22,10:10,2023-10-22,12:05,2023-10-22,12:05
ibatj,1016,2023-10-22 10:00:00.000000 UTC,2023-10-22,10:20,2023-10-22,12:01,2023-10-22,12:01
ibatj,1020,2023-10-22 10:00:00.000000 UTC,2023-10-22,21:16,2023-10-22,12:03,2023-10-22,12:03
ibatj,1027,2023-10-22 10:00:00.000000 UTC,2023-10-22,21:25,2023-10-22,12:07,2023-10-22,12:07
ibatj,1028,2023-10-22 10:00:00.000000 UTC,2023-10-22,10:27,,,2023-10-22,12:06
ibatj,1030,2023-10-22 10:00:00.000000 UTC,2023-10-22,21:30,2023-10-22,12:07,2023-10-22,12:07
ibatj,1032,2023-10-22 10:00:00.000000 UTC,2023-10-22,21:36,2023-10-22,12:07,2023-10-22,12:07
ibatj,1033,2023-10-22 10:00:00.000000 UTC,2023-10-22,10:40,2023-10-22,12:02,2023-10-22,12:02
ibatj,1034,2023-10-22 10:00:00.000000 UTC,2023-10-22,10:48,,,2023-10-22,12:11
ibatj,1041,2023-10-22 18:30:00.000000 UTC,2023-10-22,18:32,,,,
ibatj,1047,2023-10-22 18:30:00.000000 UTC,2023-10-22,18:53,2023-10-22,20:51,2023-10-22,20:51
ibatj,1050,2023-10-22 18:30:00.000000 UTC,2023-10-22,19:00,2023-10-22,20:49,2023-10-22,20:49
ibatj,1012,2023-11-05 10:00:00.000000 UTC,2023-11-05,10:08,,,,
ibatj,1022,2023-11-05 10:00:00.000000 UTC,2023-11-05,12:19,,,,
ibatj,1029,2023-11-05 10:00:00.000000 UTC,2023-11-05,10:16,2023-11-05,12:31,2023-11-05,12:31
ibatj,1053,2023-11-05 10:00:00.000000 UTC,2023-11-05,10:05,,,2023-11-05,12:41
ibatj,1062,2023-11-05 10:00:00.000000 UTC,2023-11-05,12:01,,,2023-11-05,12:41
ibatj,1063,2023-11-05 10:00:00.000000 UTC,2023-11-05,10:33,2023-11-05,12:34,2023-11-05,12:34
ibatj,1064,2023-11-05 10:00:00.000000 UTC,2023-11-05,10:17,2023-11-05,12:30,2023-11-05,12:30
